time_seconds,tail_orientation_radians,tail_velocity,e_F_x,e_F_y,e_F_z,F_sub_x,F_sub_y,F_sub_z,F_total,F_applied?,A_tilde,Wind_x,Wind_y,Wind_z,friction,damping,vel_setpoint,vel_applied,effort_setpoint,effort_applied,effort_measured,fx,fy,fz,tx,ty,tz
0.04583333333333333,"tensor([[0.0403]], device='cuda:0')","tensor([[2.6891]], device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.9992, device='cuda:0')","tensor(0.0403, device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.0886, device='cuda:0')","tensor(0.0036, device='cuda:0')","tensor(0.0886, device='cuda:0')",True,0.069650014891522,"tensor(-0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.20000000298023224,10.0,8.333333015441895,2.6891117095947266,0.0,0.0,54.57257080078125,"tensor(-510.1182, device='cuda:0')","tensor(-0.0611, device='cuda:0')","tensor(-1.7461e-05, device='cuda:0')","tensor(-0.0428, device='cuda:0')","tensor(13.7327, device='cuda:0')","tensor(54.5726, device='cuda:0')"
0.05,"tensor([[0.0526]], device='cuda:0')","tensor([[3.1758]], device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.9986, device='cuda:0')","tensor(0.0525, device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.1235, device='cuda:0')","tensor(0.0065, device='cuda:0')","tensor(0.1236, device='cuda:0')",True,0.0696499569748994,"tensor(-0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.20000000298023224,10.0,9.166666984558105,3.1758384704589844,0.0,0.0,58.1833610534668,"tensor(-510.1164, device='cuda:0')","tensor(-0.0886, device='cuda:0')","tensor(-1.7461e-05, device='cuda:0')","tensor(-0.0621, device='cuda:0')","tensor(13.7315, device='cuda:0')","tensor(58.1833, device='cuda:0')"
0.05416666666666667,"tensor([[0.0669]], device='cuda:0')","tensor([[3.6903]], device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.9978, device='cuda:0')","tensor(0.0669, device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.1666, device='cuda:0')","tensor(0.0112, device='cuda:0')","tensor(0.1669, device='cuda:0')",True,0.06965003805817105,"tensor(-0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.20000000298023224,10.0,10.0,3.6902883052825928,0.0,0.0,61.50556182861328,"tensor(-510.1135, device='cuda:0')","tensor(-0.1235, device='cuda:0')","tensor(-1.7460e-05, device='cuda:0')","tensor(-0.0865, device='cuda:0')","tensor(13.7295, device='cuda:0')","tensor(61.5056, device='cuda:0')"
0.058333333333333334,"tensor([[0.0835]], device='cuda:0')","tensor([[4.2302]], device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.9965, device='cuda:0')","tensor(0.0834, device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.2186, device='cuda:0')","tensor(0.0183, device='cuda:0')","tensor(0.2193, device='cuda:0')",True,0.06964997434988618,"tensor(-0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.20000000298023224,10.0,10.833333015441895,4.230233192443848,0.0,0.0,64.56259155273438,"tensor(-510.1089, device='cuda:0')","tensor(-0.1666, device='cuda:0')","tensor(-1.7460e-05, device='cuda:0')","tensor(-0.1167, device='cuda:0')","tensor(13.7262, device='cuda:0')","tensor(64.5626, device='cuda:0')"
0.0625,"tensor([[0.1023]], device='cuda:0')","tensor([[4.7936]], device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.9948, device='cuda:0')","tensor(0.1021, device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.2802, device='cuda:0')","tensor(0.0288, device='cuda:0')","tensor(0.2817, device='cuda:0')",True,0.06964997877366841,"tensor(-0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.20000000298023224,10.0,11.666666984558105,4.793626308441162,0.0,0.0,67.37584686279297,"tensor(-510.1017, device='cuda:0')","tensor(-0.2187, device='cuda:0')","tensor(-1.7460e-05, device='cuda:0')","tensor(-0.1531, device='cuda:0')","tensor(13.7212, device='cuda:0')","tensor(67.3759, device='cuda:0')"
0.06666666666666667,"tensor([[0.1236]], device='cuda:0')","tensor([[5.3786]], device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.9924, device='cuda:0')","tensor(0.1232, device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.3519, device='cuda:0')","tensor(0.0437, device='cuda:0')","tensor(0.3546, device='cuda:0')",True,0.06964999751653522,"tensor(-0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.20000000298023224,10.0,12.5,5.378588676452637,0.0,0.0,69.96513366699219,"tensor(-510.0912, device='cuda:0')","tensor(-0.2803, device='cuda:0')","tensor(-1.7460e-05, device='cuda:0')","tensor(-0.1962, device='cuda:0')","tensor(13.7138, device='cuda:0')","tensor(69.9651, device='cuda:0')"
0.07083333333333333,"tensor([[0.1473]], device='cuda:0')","tensor([[5.9834]], device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.9892, device='cuda:0')","tensor(0.1468, device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.4341, device='cuda:0')","tensor(0.0644, device='cuda:0')","tensor(0.4388, device='cuda:0')",True,0.06964993959991261,"tensor(-0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.20000000298023224,10.0,13.333333015441895,5.983389854431152,0.0,0.0,72.34854888916016,"tensor(-510.0763, device='cuda:0')","tensor(-0.3520, device='cuda:0')","tensor(-1.7459e-05, device='cuda:0')","tensor(-0.2464, device='cuda:0')","tensor(13.7034, device='cuda:0')","tensor(72.3486, device='cuda:0')"
0.075,"tensor([[0.1736]], device='cuda:0')","tensor([[6.6064]], device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.9850, device='cuda:0')","tensor(0.1727, device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.5269, device='cuda:0')","tensor(0.0924, device='cuda:0')","tensor(0.5350, device='cuda:0')",True,0.06964999172487296,"tensor(-0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.20000000298023224,10.0,14.166666984558105,6.606444358825684,0.0,0.0,74.54303741455078,"tensor(-510.0556, device='cuda:0')","tensor(-0.4342, device='cuda:0')","tensor(-1.7458e-05, device='cuda:0')","tensor(-0.3039, device='cuda:0')","tensor(13.6889, device='cuda:0')","tensor(74.5431, device='cuda:0')"
0.07916666666666666,"tensor([[0.2025]], device='cuda:0')","tensor([[7.2463]], device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.9796, device='cuda:0')","tensor(0.2011, device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.6305, device='cuda:0')","tensor(0.1294, device='cuda:0')","tensor(0.6436, device='cuda:0')",True,0.06965000330819748,"tensor(-0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.20000000298023224,10.0,15.0,7.246293544769287,0.0,0.0,76.5639877319336,"tensor(-510.0276, device='cuda:0')","tensor(-0.5270, device='cuda:0')","tensor(-1.7457e-05, device='cuda:0')","tensor(-0.3689, device='cuda:0')","tensor(13.6693, device='cuda:0')","tensor(76.5640, device='cuda:0')"
0.08333333333333333,"tensor([[0.2341]], device='cuda:0')","tensor([[7.9016]], device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.9727, device='cuda:0')","tensor(0.2320, device='cuda:0')","tensor(-0., device='cuda:0')","tensor(0.7444, device='cuda:0')","tensor(0.1775, device='cuda:0')","tensor(0.7653, device='cuda:0')",True,0.06965003805817105,"tensor(-0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.20000000298023224,10.0,15.833333015441895,7.901602268218994,0.0,0.0,78.4256820678711,"tensor(-509.9905, device='cuda:0')","tensor(-0.6306, device='cuda:0')","tensor(-1.7456e-05, device='cuda:0')","tensor(-0.4414, device='cuda:0')","tensor(13.6434, device='cuda:0')","tensor(78.4257, device='cuda:0')"
