time_seconds,friction,damping,vel_setpoint,effort_setpoint,vel_joint,effort_joint,effort_joint(articulation_view),computed_effort
0.016666666666666666,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.5,10.0,3.3333332538604736,0.0,0.6637904644012451,33.33333206176758,0.0,33.33333206176758
0.05,0.5,10.0,6.666666507720947,0.0,2.0764310359954834,60.02876281738281,0.0,60.02876281738281
0.06666666666666667,0.5,10.0,10.0,0.0,4.032591819763184,79.23568725585938,0.0,79.23568725585938
0.08333333333333333,0.5,10.0,13.333333015441895,0.0,6.37790584564209,93.00741577148438,0.0,93.00741577148438
0.1,0.5,10.0,16.66666603088379,0.0,9.001840591430664,102.88760375976562,0.0,102.88760375976562
0.11666666666666667,0.5,10.0,20.0,0.0,11.825271606445312,109.98159790039062,0.0,109.98159790039062
0.13333333333333333,0.5,10.0,23.33333396911621,0.0,14.79153060913086,115.08062744140625,0.0,115.08062744140625
0.15,0.5,10.0,26.66666603088379,0.0,17.86005973815918,118.75135803222656,0.0,118.75135803222656
0.16666666666666666,0.5,10.0,30.0,0.0,21.001808166503906,121.39939880371094,0.0,121.39939880371094
0.18333333333333332,0.5,10.0,33.33333206176758,0.0,24.19597816467285,123.31523895263672,0.0,123.31523895263672
0.2,0.5,10.0,36.66666793823242,0.0,27.427688598632812,124.70689392089844,0.0,124.70689392089844
0.21666666666666667,0.5,10.0,40.0,0.0,30.686269760131836,125.72311401367188,0.0,125.72311401367188
0.23333333333333334,0.5,10.0,43.33333206176758,0.0,33.964080810546875,126.47062683105469,0.0,126.47062683105469
0.25,0.5,10.0,46.66666793823242,0.0,37.255680084228516,127.02587127685547,0.0,127.02587127685547
0.26666666666666666,0.5,10.0,50.0,0.0,40.55714416503906,127.44319915771484,0.0,127.44319915771484
0.2833333333333333,0.5,10.0,53.33333206176758,0.0,43.86567306518555,127.76187896728516,0.0,127.76187896728516
0.3,0.5,10.0,56.66666793823242,0.0,47.17925262451172,128.00994873046875,0.0,128.00994873046875
0.31666666666666665,0.5,10.0,60.0,0.0,50.496463775634766,128.2074737548828,0.0,128.2074737548828
0.3333333333333333,0.5,10.0,63.33333206176758,0.0,53.81624984741211,128.36868286132812,0.0,128.36868286132812
0.35,0.5,10.0,66.66666412353516,0.0,57.137901306152344,128.504150390625,0.0,128.504150390625
0.36666666666666664,0.5,10.0,70.0,0.0,60.46087646484375,128.62098693847656,0.0,128.62098693847656
0.3833333333333333,0.5,10.0,73.33333587646484,0.0,63.78480911254883,128.72459411621094,0.0,128.72459411621094
0.4,0.5,10.0,76.66666412353516,0.0,67.10941314697266,128.81854248046875,0.0,128.81854248046875
0.4166666666666667,0.5,10.0,80.0,0.0,70.43450164794922,128.90586853027344,0.0,128.90586853027344
0.43333333333333335,0.5,10.0,80.0,0.0,72.8152084350586,95.65498352050781,0.0,95.65498352050781
0.45,0.5,10.0,80.0,0.0,74.51976013183594,71.84791564941406,0.0,71.84791564941406
0.4666666666666667,0.5,10.0,80.0,0.0,75.74017333984375,54.802398681640625,0.0,54.802398681640625
0.48333333333333334,0.5,10.0,80.0,0.0,76.61398315429688,42.5982666015625,0.0,42.5982666015625
0.5,0.5,10.0,80.0,0.0,77.23963165283203,33.86016845703125,0.0,33.86016845703125
0.5166666666666666,0.5,10.0,80.0,0.0,77.68756866455078,27.603683471679688,0.0,27.603683471679688
0.5333333333333333,0.5,10.0,80.0,0.0,78.0082778930664,23.124313354492188,0.0,23.124313354492188
0.55,0.5,10.0,80.0,0.0,78.23790740966797,19.917221069335938,0.0,19.917221069335938
0.5666666666666667,0.5,10.0,80.0,0.0,78.40229797363281,17.620925903320312,0.0,17.620925903320312
0.5833333333333334,0.5,10.0,80.0,0.0,78.52000427246094,15.977020263671875,0.0,15.977020263671875
0.6,0.5,10.0,80.0,0.0,78.60429382324219,14.799957275390625,0.0,14.799957275390625
0.6166666666666667,0.5,10.0,80.0,0.0,78.66464233398438,13.957061767578125,0.0,13.957061767578125
0.6333333333333333,0.5,0.0,80.0,0.0,78.26020812988281,13.35357666015625,0.0,13.35357666015625
0.65,0.5,0.0,80.0,0.0,77.85610961914062,17.397918701171875,0.0,17.397918701171875
0.6666666666666666,0.5,0.0,80.0,0.0,77.45234680175781,21.43890380859375,0.0,21.43890380859375
0.6833333333333333,0.5,0.0,80.0,0.0,77.04891967773438,25.476531982421875,0.0,25.476531982421875
0.7,0.5,0.0,80.0,0.0,76.64582824707031,29.51080322265625,0.0,29.51080322265625
0.7166666666666667,0.5,0.0,80.0,0.0,76.24307250976562,33.541717529296875,0.0,33.541717529296875
0.7333333333333333,0.5,0.0,80.0,0.0,75.84065246582031,37.56927490234375,0.0,37.56927490234375
0.75,0.5,0.0,80.0,0.0,75.43856811523438,41.593475341796875,0.0,41.593475341796875
0.7666666666666666,0.5,0.0,80.0,0.0,75.03681945800781,45.61431884765625,0.0,45.61431884765625
0.7833333333333333,0.5,0.0,80.0,0.0,74.63540649414062,49.631805419921875,0.0,49.631805419921875
