time_seconds,F_sub_x,F_sub_y,F_sub_z,F_total,F_applied?,A_tilde,Wind_x,Wind_y,Wind_z,TailDrive_friction,TailDrive_damping,TailDrive_stiffness,TailDrive_position_setpoint,TailDrive_velocity_setpoint,TailDrive_effort_setpoint,TailDrive_effort_measured,TailDrive_effort_applied,TailDrive_position,TailDrive_velocity,Root_Body_position_x,Root_Body_position_y,Root_Body_position_z,Root_Body_velocity_x,Root_Body_velocity_y,Root_Body_velocity_z,Root_Body_acceleration_x,Root_Body_acceleration_y,Root_Body_acceleration_z,Root_Body_angular_velocity_x,Root_Body_angular_velocity_y,Root_Body_angular_velocity_z,Root_Body_angular_acceleration_x,Root_Body_angular_acceleration_y,Root_Body_angular_acceleration_z,Body_position_x,Body_position_y,Body_position_z,Body_velocity_x,Body_velocity_y,Body_velocity_z,Body_acceleration_x,Body_acceleration_y,Body_acceleration_z,Body_angular_velocity_x,Body_angular_velocity_y,Body_angular_velocity_z,Body_angular_acceleration_x,Body_angular_acceleration_y,Body_angular_acceleration_z,Tail_position_x,Tail_position_y,Tail_position_z,Tail_velocity_x,Tail_velocity_y,Tail_velocity_z,Tail_acceleration_x,Tail_acceleration_y,Tail_acceleration_z,Tail_angular_velocity_x,Tail_angular_velocity_y,Tail_angular_velocity_z,Tail_angular_acceleration_x,Tail_angular_acceleration_y,Tail_angular_acceleration_z,Endeffector_position_x,Endeffector_position_y,Endeffector_position_z,Endeffector_velocity_x,Endeffector_velocity_y,Endeffector_velocity_z,Endeffector_acceleration_x,Endeffector_acceleration_y,Endeffector_acceleration_z,Endeffector_angular_velocity_x,Endeffector_angular_velocity_y,Endeffector_angular_velocity_z,Endeffector_angular_acceleration_x,Endeffector_angular_acceleration_y,Endeffector_angular_acceleration_z,Body_Root_FixedJoint_force_x,Body_Root_FixedJoint_force_y,Body_Root_FixedJoint_force_z,Body_Root_FixedJoint_torque_x,Body_Root_FixedJoint_torque_y,Body_Root_FixedJoint_torque_z,TailDrive_force_x,TailDrive_force_y,TailDrive_force_z,TailDrive_torque_x,TailDrive_torque_y,TailDrive_torque_z,Tail_Endeffector_FixedJoint_force_x,Tail_Endeffector_FixedJoint_force_y,Tail_Endeffector_FixedJoint_force_z,Tail_Endeffector_FixedJoint_torque_x,Tail_Endeffector_FixedJoint_torque_y,Tail_Endeffector_FixedJoint_torque_z
0.0017241379310344827,-23.268844604492188,0.0,0.0,23.268844604492188,True,9.950000148266554,-30.0,0.0,0.0,0.019999999552965164,10.0,0.0,0.0,0.0,0.0,6.648938066788901e-10,0.0,-4.942602269761047e-18,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700000047683716,0.5,1.350000023841858,0.0,4.319802115041869e-20,1.6377695977690333e-29,0.0,8.673617379884035e-18,-7.270142102516845e-26,0.0,0.0,0.0,-5.828670879282072e-16,0.0,0.0,2.700000047683716,0.5,1.7000000476837158,0.0,-3.48978892587873e-19,1.6377695977690333e-29,0.0,-2.3418766925686896e-16,-7.270142102516845e-26,0.0,0.0,0.0,-5.828670879282072e-16,0.0,0.0,0.0,1.0321604682062002e-16,497.36712646484375,-9.540979117872439e-18,-4.806969165802002,1.470178145890344e-16,0.0,6.073659260864005e-18,6.867098331451416,6.648938066788901e-10,-3.80832165802758e-09,3.368300094639647e-27,0.0,-2.341876551366374e-21,9.810000483412296e-05,-1.344156123211926e-12,-2.5039605805465825e-12,-5.977539462903153e-29
0.0034482758620689655,-23.268850326538086,0.014991759322583675,5.565717060562747e-07,23.268856048583984,True,9.950000148266554,-30.0,0.0,0.0,0.019999999552965164,10.0,0.0,0.0,0.3448275923728943,0.0,2.742490291595459,3.035142660140991,3.801256389124319e-05,0.04131331667304039,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999995708465576,0.49998676776885986,1.3499999046325684,0.0,-0.014459660276770592,4.000084118105374e-12,0.0,-8.386603355407715,2.3200488197261393e-09,0.04131331667304039,0.0,0.0,23.96172332763672,0.0,0.0,2.6999995708465576,0.49997350573539734,1.6999998092651367,0.0,-0.028919322416186333,4.000084118105374e-12,0.0,-16.77320671081543,2.3200488197261393e-09,0.04131331667304039,0.0,0.0,23.96172332763672,0.0,0.0,23.268844604492188,-5.870790004730225,497.36712646484375,2.7425825595855713,3.3371269702911377,-4.109553337097168,23.26883888244629,-5.870528697967529,6.867318630218506,2.742490291595459,8.144091606140137,-5.486759491191151e-09,0.0,-0.00016772831440903246,9.810632764128968e-05,0.00023961716215126216,-2.504121259308545e-12,-4.281192154259594e-12
0.005172413793103448,-23.268896102905273,0.04525592923164368,8.404525033256505e-06,23.268939971923828,True,9.950000148266554,-30.0,0.0,0.0,0.019999999552965164,10.0,0.0,0.0,0.6896551847457886,0.0,5.541355609893799,5.64941930770874,0.00018532812828198075,0.124713234603405,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999995708465576,0.49993523955345154,1.3499999046325684,0.0,-0.043649621307849884,-2.681071691768011e-06,0.0,-16.930173873901367,-0.0012377859093248844,0.1247132197022438,0.0,0.0,48.371944427490234,0.0,0.0,2.6999995708465576,0.4998704791069031,1.6999998092651367,0.0,-0.08729923516511917,-5.364980097510852e-06,0.0,-33.86034393310547,-0.002476672176271677,0.1247132197022438,0.0,0.0,48.371944427490234,0.0,0.0,23.268850326538086,-11.866455078125,497.3662414550781,5.54171085357666,3.3377363681793213,-8.306203842163086,23.268844604492188,-11.865179061889648,6.868425369262695,5.541355609893799,8.14409351348877,-8.857559130603931e-09,0.0,-0.00033858520328067243,9.813786164158955e-05,0.00048373997560702264,-2.504926171001398e-12,-8.642240569012305e-12
0.006896551724137931,-23.26904296875,0.08870398998260498,4.5363914978224784e-05,23.26921272277832,True,9.950000889599323,-30.0,0.0,0.0,0.019999999552965164,10.0,0.0,0.0,1.034482717514038,0.0,7.963973045349121,7.900257110595703,0.0005094034131616354,0.24445699155330658,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999998092651367,0.4998217225074768,1.3499999046325684,0.0,-0.08555994182825089,-2.521544593037106e-05,0.0,-24.307973861694336,-0.009940998628735542,0.24445690214633942,0.0,0.0,69.45135498046875,0.0,0.0,2.6999998092651367,0.4996434450149536,1.6999998092651367,0.0,-0.17111985385417938,-5.0432237912900746e-05,0.0,-48.615943908691406,-0.019882382825016975,0.24445690214633942,0.0,0.0,69.45135498046875,0.0,0.0,23.268896102905273,-17.061323165893555,497.36016845703125,7.964755058288574,3.34202241897583,-11.941411018371582,23.26889419555664,-17.057825088500977,6.868819236755371,7.963973045349121,8.144111633300781,-1.1699215818339326e-08,0.0,-0.0004861094639636576,9.814878285396844e-05,0.0006945758359506726,-2.5052054614810304e-12,-1.2407734562014383e-11
0.008620689655172414,-23.269357681274414,0.14348992705345154,0.000153337066876702,23.269800186157227,True,9.950000148266554,-30.0,0.0,0.0,0.019999999552965164,10.0,0.0,0.0,1.3793103694915771,0.0,10.050399780273438,9.838918685913086,0.001068180543370545,0.3954184651374817,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999998092651367,0.49962615966796875,1.3499997854232788,0.0,-0.13839641213417053,-0.00010655382357072085,0.0,-30.64516830444336,-0.03652484342455864,0.3954184055328369,0.0,0.0,87.55767822265625,0.0,0.0,2.6999998092651367,0.4992522895336151,1.6999995708465576,0.0,-0.27679282426834106,-0.00021310965530574322,0.0,-61.29033279418945,-0.0730501189827919,0.3954184055328369,0.0,0.0,87.55767822265625,0.0,0.0,23.26904296875,-21.540937423706055,497.3415222167969,10.051743507385254,3.3551247119903564,-15.074505805969238,23.269039154052734,-21.533611297607422,6.86448860168457,10.050399780273438,8.144163131713867,-1.4603953601977082e-08,0.0,-0.0006127989036031067,9.80241020442918e-05,0.0008756988681852818,-2.502022677583482e-12,-1.5641425654688845e-11
0.010344827586206896,-23.269868850708008,0.2080051153898239,0.00039758949424140155,23.27079963684082,True,9.950000148266554,-30.0,0.0,0.0,0.019999999552965164,10.0,0.0,0.0,1.7241379022598267,0.0,11.84807014465332,11.509401321411133,0.0019114345777779818,0.5731977224349976,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999995708465576,0.4993310868740082,1.349999189376831,0.0,-0.20061899721622467,-0.00030864105792716146,0.0,-36.08912658691406,-0.0932726338505745,0.5731976628303528,0.0,0.0,103.11205291748047,0.0,0.0,2.6999995708465576,0.49866217374801636,1.699998378753662,0.0,-0.40123796463012695,-0.0006172950379550457,0.0,-72.17825317382812,-0.18654760718345642,0.5731976628303528,0.0,0.0,103.11205291748047,0.0,0.0,23.269357681274414,-25.406606674194336,497.30169677734375,11.850096702575684,3.383114814758301,-17.775920867919922,23.269350051879883,-25.393545150756836,6.850193977355957,11.84807014465332,8.144269943237305,-1.6635372190876296e-08,0.0,-0.0007215970545075834,9.761377441463992e-05,0.0010313178645446897,-2.491548850916403e-12,-1.8418449057588937e-11
0.01206896551724138,-23.270797729492188,0.2808995246887207,0.0008651806856505573,23.272493362426758,True,9.950000148266554,-30.0,0.0,0.0,0.019999999552965164,10.0,0.0,0.0,2.068965435028076,0.0,13.397721290588379,12.949467658996582,0.0030819301027804613,0.7740186452865601,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700000047683716,0.49892133474349976,1.3499983549118042,0.0,-0.2709055244922638,-0.0007160165696404874,0.0,-40.76632308959961,-0.19290649890899658,0.774018406867981,0.0,0.0,116.47607421875,0.0,0.0,2.700000047683716,0.4978426396846771,1.6999967098236084,0.0,-0.5418108701705933,-0.0014320333721116185,0.0,-81.53263854980469,-0.3858129680156708,0.774018406867981,0.0,0.0,116.47607421875,0.0,0.0,23.26987075805664,-28.745256423950195,497.231689453125,13.40050220489502,3.4322752952575684,-20.106096267700195,23.26987075805664,-28.724365234375,6.820220470428467,13.397721290588379,8.144454002380371,-1.910573210750499e-08,0.0,-0.0008150319918058813,9.675419278210029e-05,0.001165047287940979,-2.469609152594421e-12,-2.0803339953467948e-11
0.013793103448275862,-23.271970748901367,0.3609788417816162,0.0016656661173328757,23.274768829345703,True,9.950000148266554,-30.0,0.0,0.0,0.019999999552965164,10.0,0.0,0.0,2.4137930870056152,0.0,14.73426342010498,14.19154167175293,0.004616416059434414,0.9946389198303223,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999998092651367,0.4983842968940735,1.3499962091445923,0.0,-0.34812086820602417,-0.001434414996765554,0.0,-44.78506851196289,-0.3477121591567993,0.9946389198303223,0.0,0.0,127.95977020263672,0.0,0.0,2.6999998092651367,0.496768593788147,1.6999924182891846,0.0,-0.6962417960166931,-0.002868854673579335,0.0,-89.57013702392578,-0.6954274773597717,0.9946389198303223,0.0,0.0,127.95977020263672,0.0,0.0,23.270795822143555,-31.631338119506836,497.12286376953125,14.737881660461426,3.508760690689087,-22.116838455200195,23.270793914794922,-31.600431442260742,6.7687764167785645,14.73426342010498,8.144777297973633,-2.34104309271288e-08,0.0,-0.0008952709613367915,9.527957445243374e-05,0.0012799844844266772,-2.431969989974414e-12,-2.2851406530910445e-11
0.015517241379310345,-23.273717880249023,0.44725552201271057,0.0029289526864886284,23.27801513671875,True,9.950000889599323,-30.0,0.0,0.0,0.019999999552965164,10.0,0.0,0.0,2.7586207389831543,0.0,15.887733459472656,15.263442993164062,0.006546474061906338,1.232276439666748,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700000047683716,0.4977087378501892,1.3499925136566162,0.0,-0.4312894344329834,-0.002587981289252639,0.0,-48.238311767578125,-0.5689456462860107,1.232276201248169,0.0,0.0,137.82980346679688,0.0,0.0,2.700000047683716,0.49541744589805603,1.6999850273132324,0.0,-0.862578809261322,-0.005175962578505278,0.0,-96.47662353515625,-1.1378912925720215,1.232276201248169,0.0,0.0,137.82980346679688,0.0,0.0,23.271970748901367,-34.1287727355957,496.9671936035156,15.89223861694336,3.618091344833374,-23.852529525756836,23.271968841552734,-34.085689544677734,6.690444469451904,15.887733459472656,8.14518928527832,-1.5413393228413952e-08,0.0,-0.0009641777724027634,9.30350724956952e-05,0.0013787953648716211,-2.374680313499411e-12,-2.4610223581245094e-11
0.017241379310344827,-23.275850296020508,0.5388689637184143,0.004794607404619455,23.282087326049805,True,9.950000148266554,-30.0,0.0,0.0,0.019999999552965164,10.0,0.0,0.0,3.1034483909606934,0.0,16.883913040161133,16.189054489135742,0.008899257518351078,1.484542965888977,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700000047683716,0.4968853294849396,1.3499860763549805,0.0,-0.519572913646698,-0.004317817743867636,0.0,-51.20558547973633,-0.8667128086090088,1.484542965888977,0.0,0.0,146.31475830078125,0.0,0.0,2.700000047683716,0.49377062916755676,1.699972152709961,0.0,-1.0391459465026855,-0.008635657839477062,0.0,-102.41117095947266,-1.7334280014038086,1.484542965888977,0.0,0.0,146.31475830078125,0.0,0.0,23.273717880249023,-36.29219055175781,496.75750732421875,16.88928985595703,3.765409231185913,-25.351211547851562,23.273717880249023,-36.23506546020508,6.580173492431641,16.883913040161133,8.145800590515137,-7.960050396604856e-09,0.0,-0.0010233523789793253,8.987620094558224e-05,0.0014637637650594115,-2.2940514505381815e-12,-2.612062996454334e-11
