time_seconds,tail_orientation_radians,tail_velocity,Analytical total Torque,e_F_x,e_F_y,e_F_z,F_sub_x,F_sub_y,F_sub_z,F_total,F_applied?,A_tilde,Wind_x,Wind_y,Wind_z,friction,damping,vel_setpoint,vel_applied,effort_setpoint,effort_applied,effort_measured,fx,fy,fz,tx,ty,tz
1.7958333333333283,"tensor([[-1.9414]], device='cuda:0')","tensor([[24.7912]], device='cuda:0')",tensor(4.0761),"tensor(0.9817, device='cuda:0')","tensor(0.0690, device='cuda:0')","tensor(0.1776, device='cuda:0')","tensor(45.7313, device='cuda:0')","tensor(3.2143, device='cuda:0')","tensor(8.2733, device='cuda:0')","tensor(46.5846, device='cuda:0')",True,0.03482493504998274,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,24.791181564331055,0.0,0.0,6.531312942504883,"tensor(-45.7403, device='cuda:0')","tensor(-34.1496, device='cuda:0')","tensor(-442.2220, device='cuda:0')","tensor(6.5313, device='cuda:0')","tensor(-31.9325, device='cuda:0')","tensor(1.6547, device='cuda:0')"
1.799999999999995,"tensor([[-1.8383]], device='cuda:0')","tensor([[24.6680]], device='cuda:0')",tensor(4.0746),"tensor(0.9819, device='cuda:0')","tensor(0.0501, device='cuda:0')","tensor(0.1829, device='cuda:0')","tensor(45.7222, device='cuda:0')","tensor(2.3341, device='cuda:0')","tensor(8.5155, device='cuda:0')","tensor(46.5670, device='cuda:0')",True,0.03482499875826761,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,24.667959213256836,0.0,0.0,6.356692314147949,"tensor(-45.7313, device='cuda:0')","tensor(-33.7504, device='cuda:0')","tensor(-436.1732, device='cuda:0')","tensor(6.3567, device='cuda:0')","tensor(-31.9270, device='cuda:0')","tensor(1.6462, device='cuda:0')"
1.8041666666666616,"tensor([[-1.7358]], device='cuda:0')","tensor([[24.5432]], device='cuda:0')",tensor(4.0731),"tensor(0.9820, device='cuda:0')","tensor(0.0310, device='cuda:0')","tensor(0.1861, device='cuda:0')","tensor(45.7131, device='cuda:0')","tensor(1.4428, device='cuda:0')","tensor(8.6635, device='cuda:0')","tensor(46.5492, device='cuda:0')",True,0.034825021924916655,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,24.54315185546875,0.0,0.0,6.181183338165283,"tensor(-45.7222, device='cuda:0')","tensor(-33.2959, device='cuda:0')","tensor(-429.9967, device='cuda:0')","tensor(6.1812, device='cuda:0')","tensor(-31.9216, device='cuda:0')","tensor(1.6376, device='cuda:0')"
1.8083333333333282,"tensor([[-1.6338]], device='cuda:0')","tensor([[24.4176]], device='cuda:0')",tensor(4.0715),"tensor(0.9822, device='cuda:0')","tensor(0.0118, device='cuda:0')","tensor(0.1874, device='cuda:0')","tensor(45.7038, device='cuda:0')","tensor(0.5504, device='cuda:0')","tensor(8.7184, device='cuda:0')","tensor(46.5312, device='cuda:0')",True,0.03482494663330726,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,24.41758918762207,0.0,0.0,6.006434917449951,"tensor(-45.7131, device='cuda:0')","tensor(-32.7910, device='cuda:0')","tensor(-423.7471, device='cuda:0')","tensor(6.0064, device='cuda:0')","tensor(-31.9160, device='cuda:0')","tensor(1.6288, device='cuda:0')"
1.812499999999995,"tensor([[-1.5324]], device='cuda:0')","tensor([[24.2922]], device='cuda:0')",tensor(4.0699),"tensor(0.9824, device='cuda:0')","tensor(-0.0072, device='cuda:0')","tensor(0.1867, device='cuda:0')","tensor(45.6948, device='cuda:0')","tensor(-0.3337, device='cuda:0')","tensor(8.6825, device='cuda:0')","tensor(46.5136, device='cuda:0')",True,0.034825021924916655,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,24.292240142822266,0.0,0.0,5.833917140960693,"tensor(-45.7038, device='cuda:0')","tensor(-32.2403, device='cuda:0')","tensor(-417.4746, device='cuda:0')","tensor(5.8339, device='cuda:0')","tensor(-31.9104, device='cuda:0')","tensor(1.6202, device='cuda:0')"
1.8166666666666615,"tensor([[-1.4314]], device='cuda:0')","tensor([[24.1680]], device='cuda:0')",tensor(4.0684),"tensor(0.9826, device='cuda:0')","tensor(-0.0258, device='cuda:0')","tensor(0.1841, device='cuda:0')","tensor(45.6858, device='cuda:0')","tensor(-1.2004, device='cuda:0')","tensor(8.5586, device='cuda:0')","tensor(46.4960, device='cuda:0')",True,0.03482494663330726,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,24.168006896972656,0.0,0.0,5.664968967437744,"tensor(-45.6948, device='cuda:0')","tensor(-31.6489, device='cuda:0')","tensor(-411.2336, device='cuda:0')","tensor(5.6650, device='cuda:0')","tensor(-31.9050, device='cuda:0')","tensor(1.6115, device='cuda:0')"
1.8208333333333282,"tensor([[-1.3310]], device='cuda:0')","tensor([[24.0458]], device='cuda:0')",tensor(4.0669),"tensor(0.9827, device='cuda:0')","tensor(-0.0439, device='cuda:0')","tensor(0.1797, device='cuda:0')","tensor(45.6769, device='cuda:0')","tensor(-2.0415, device='cuda:0')","tensor(8.3508, device='cuda:0')","tensor(46.4789, device='cuda:0')",True,0.03482494663330726,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,24.045785903930664,0.0,0.0,5.500638484954834,"tensor(-45.6857, device='cuda:0')","tensor(-31.0214, device='cuda:0')","tensor(-405.0745, device='cuda:0')","tensor(5.5006, device='cuda:0')","tensor(-31.8995, device='cuda:0')","tensor(1.6031, device='cuda:0')"
1.8249999999999948,"tensor([[-1.2311]], device='cuda:0')","tensor([[23.9264]], device='cuda:0')",tensor(4.0655),"tensor(0.9829, device='cuda:0')","tensor(-0.0613, device='cuda:0')","tensor(0.1735, device='cuda:0')","tensor(45.6685, device='cuda:0')","tensor(-2.8495, device='cuda:0')","tensor(8.0634, device='cuda:0')","tensor(46.4623, device='cuda:0')",True,0.03482500165409874,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,23.926387786865234,0.0,0.0,5.342390537261963,"tensor(-45.6769, device='cuda:0')","tensor(-30.3639, device='cuda:0')","tensor(-399.0458, device='cuda:0')","tensor(5.3424, device='cuda:0')","tensor(-31.8941, device='cuda:0')","tensor(1.5948, device='cuda:0')"
1.8291666666666615,"tensor([[-1.1317]], device='cuda:0')","tensor([[23.8107]], device='cuda:0')",tensor(4.0641),"tensor(0.9831, device='cuda:0')","tensor(-0.0779, device='cuda:0')","tensor(0.1658, device='cuda:0')","tensor(45.6602, device='cuda:0')","tensor(-3.6176, device='cuda:0')","tensor(7.7016, device='cuda:0')","tensor(46.4463, device='cuda:0')",True,0.034825019029085524,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,23.8106632232666,0.0,0.0,5.190746307373047,"tensor(-45.6684, device='cuda:0')","tensor(-29.6808, device='cuda:0')","tensor(-393.1929, device='cuda:0')","tensor(5.1907, device='cuda:0')","tensor(-31.8890, device='cuda:0')","tensor(1.5868, device='cuda:0')"
1.8333333333333282,"tensor([[-1.0327]], device='cuda:0')","tensor([[23.6993]], device='cuda:0')",tensor(4.0627),"tensor(0.9832, device='cuda:0')","tensor(-0.0935, device='cuda:0')","tensor(0.1566, device='cuda:0')","tensor(45.6523, device='cuda:0')","tensor(-4.3396, device='cuda:0')","tensor(7.2708, device='cuda:0')","tensor(46.4309, device='cuda:0')",True,0.03482496979995631,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,23.69930076599121,0.0,0.0,5.046877384185791,"tensor(-45.6602, device='cuda:0')","tensor(-28.9779, device='cuda:0')","tensor(-387.5590, device='cuda:0')","tensor(5.0469, device='cuda:0')","tensor(-31.8839, device='cuda:0')","tensor(1.5791, device='cuda:0')"
1.8374999999999948,"tensor([[-0.9342]], device='cuda:0')","tensor([[23.5931]], device='cuda:0')",tensor(4.0614),"tensor(0.9834, device='cuda:0')","tensor(-0.1079, device='cuda:0')","tensor(0.1460, device='cuda:0')","tensor(45.6448, device='cuda:0')","tensor(-5.0102, device='cuda:0')","tensor(6.7768, device='cuda:0')","tensor(46.4163, device='cuda:0')",True,0.034825013237423263,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,23.593074798583984,0.0,0.0,4.91143274307251,"tensor(-45.6522, device='cuda:0')","tensor(-28.2605, device='cuda:0')","tensor(-382.1819, device='cuda:0')","tensor(4.9114, device='cuda:0')","tensor(-31.8791, device='cuda:0')","tensor(1.5717, device='cuda:0')"
1.8416666666666615,"tensor([[-0.8361]], device='cuda:0')","tensor([[23.4926]], device='cuda:0')",tensor(4.0602),"tensor(0.9835, device='cuda:0')","tensor(-0.1212, device='cuda:0')","tensor(0.1342, device='cuda:0')","tensor(45.6377, device='cuda:0')","tensor(-5.6247, device='cuda:0')","tensor(6.2257, device='cuda:0')","tensor(46.4025, device='cuda:0')",True,0.034824961112462915,"tensor(30., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",0.019999999552965164,0.0,0.0,23.492586135864258,0.0,0.0,4.784898281097412,"tensor(-45.6448, device='cuda:0')","tensor(-27.5334, device='cuda:0')","tensor(-377.0996, device='cuda:0')","tensor(4.7849, device='cuda:0')","tensor(-31.8745, device='cuda:0')","tensor(1.5647, device='cuda:0')"
